Variable,Coefficient,Std_Error,t_Statistic,p_Value
const,12.54018157165308,120.89004698797243,0.10373212587882213,0.9173819314092174
EG_Lag1,-0.29542907475244284,0.05398341181494753,-5.472589909010552,4.435056184955879e-08
VOL_Lag1,-11.991758881527836,10.29047785071492,-1.165325756052691,0.24388715730585486
L_REER_Lag1,-12.137265489492549,15.45760488425198,-0.7851970328118457,0.43233805490192956
L_WPI_Lag1,33.79458030663113,36.01865080356388,0.938252254115174,0.348114790338506
L_CPI_Lag1,-17.3380293326843,19.604206799223626,-0.8844035114632094,0.3764784280903044
L_IPI_Lag1,-5.583054650471933,22.51946515741161,-0.24792128105380146,0.804195313934162
D_VOL,-25.88490182624218,19.111744754637837,-1.354397631328804,0.17560955290406177
D_L_REER,-12.9297267632552,45.4016110232309,-0.2847856380391298,0.7758083759970085
D_L_WPI,170.02030725395554,124.79092382837172,1.3624412901036698,0.17305866049647445
D_L_CPI,206.37316943495077,163.85299793632203,1.2595019440239554,0.20784908849442818
D_L_IPI,11.238867120491548,19.18337199948849,0.5858650460821604,0.5579662081489374
