Variable,Subsample_1,Subsample_2
VOL,21.74986296213376,-79.53585171251757
L_REER,-237.39104192348736,-86.49298967834484
L_WPI,200.1337254657631,105.39146129683793
L_CPI,-21.05350936553698,-129.12887516882702
L_IPI,-103.88249073758526,-14.523487943603364
