Date,Scaled_Return,Conditional_Volatility
2006-01-03,-0.023396300000000002,0.08683997592567733
2006-01-06,0.09563329999999999,0.08441269919153253
2006-01-08,0.13648670000000002,0.08772704084087084
2006-01-09,0.023615800000000003,0.09436408692715276
2006-01-11,-0.0238165,0.09105380464011478
2006-01-12,-0.2528125,0.08838288020830705
2006-01-13,0.0058,0.10841618916919267
2006-01-16,-0.0685236,0.1027482940773728
2006-01-17,0.1462077,0.10324786955316756
2006-01-18,0.0694501,0.10956223236927229
2006-01-19,-0.00578,0.10891379010131373
2006-01-20,-0.0752526,0.10347788185979707
2006-01-23,0.023168599999999998,0.10453536890999082
2006-01-24,-0.0173753,0.10050081101051707
2006-01-25,0.0173753,0.09663467520092027
2006-01-26,-0.023168599999999998,0.09267656581960385
2006-01-27,0.0347482,0.08984056777898393
2006-02-03,-0.0257505,0.08772481352480782
2006-02-05,-0.1283636,0.08544475354807461
2006-02-06,0.011939400000000001,0.09281376641553059
2006-02-08,0.0532913,0.08868191721041054
2006-02-10,0.053009400000000005,0.0881514983050216
2006-02-11,0.1545745,0.0876338106820786
2006-02-13,-0.0291532,0.09589740166971682
2006-02-14,0.0,0.09336725689325463
2006-02-15,-0.0116667,0.08848887775004192
2006-02-16,0.023330399999999998,0.08493408466832698
2006-02-17,-0.0116636,0.08222766721081297
2006-02-20,-0.0408473,0.0790835220643246
2006-02-21,0.015176299999999998,0.0787117773116186
2006-02-22,-0.015176299999999998,0.07576152576644554
2006-02-23,0.0,0.07334054703610887
2006-02-24,-0.0490675,0.0697648108190909
2006-02-27,-0.0210459,0.07074940629704106
2006-02-28,0.0,0.06916239360406518
2006-03-01,-0.0172373,0.0658501420072099
2006-03-02,0.0173637,0.0642384286306924
2006-03-03,-0.0445142,0.06238068889936344
2006-03-04,-0.0495137,0.06343022809939897
2006-03-05,-0.0697392,0.06487011457458733
2006-03-07,-0.147971,0.06809825533433465
2006-03-08,0.11819149999999999,0.07884213755838934
2006-03-10,-0.0294417,0.08452239072784978
2006-03-11,-0.1248059,0.08277878096610033
2006-03-13,-0.0641886,0.09000496600780887
2006-03-14,0.005840000000000001,0.09100039265726331
2006-03-15,-0.1345019,0.08650929361639101
2006-03-16,-0.0468811,0.0943966372346433
2006-03-17,0.00586,0.0935336510380283
2006-03-20,-0.00821,0.08887586563818743
2006-03-21,-0.0504564,0.0849977924771399
2006-03-22,-0.0822639,0.08509304751195555
2006-03-23,-0.0235326,0.08809278392071532
2006-03-24,0.0764344,0.08559432244433639
2006-03-27,-0.0470207,0.08719611467542673
2006-03-28,0.023516699999999998,0.08683457435031229
2006-03-29,0.0176292,0.08401772994427051
2006-03-30,-0.0176292,0.08091718518304973
2006-03-31,-0.100034,0.07837601967355877
2006-04-01,-0.042548,0.0835334811974493
2006-04-04,-0.00944,0.08301794582503744
2006-04-05,0.0601266,0.07963029217279868
2006-04-07,-0.1425281,0.08027406248179686
2006-04-08,0.0,0.0894503250162423
2006-04-09,-0.2426728,0.08483147046070331
2006-04-10,0.023555,0.10412664714949711
2006-04-12,-0.1148528,0.10015066779016972
2006-04-13,0.1206243,0.10511432251237936
2006-04-14,-0.0531753,0.10907370188708967
2006-04-17,-0.02957,0.10775470219126812
2006-04-18,0.0,0.1044507670238731
2006-04-19,-0.0295901,0.09882690752934736
2006-04-20,-0.0414601,0.09613633301820908
2006-04-21,-0.029638599999999998,0.0946732589893411
2006-04-24,-0.1151897,0.09226832364925945
2006-04-25,-0.1071509,0.09785049975421202
2006-04-26,0.0023799999999999997,0.1022590864995752
